,sign,freq,city,format,state
35,K201ES,88.1,"Ripley/Blythe, CA",Christian Contemporary,CA
36,K201EU,88.1,"Katy, TX",Spanish Christian,TX
37,K201EY,88.1,"Kalispell, MT",Religious,MT
38,K201FD,88.1,"Forks, WA",Religious,WA
39,K201FF,88.1,"Winnemucca, NV",Religious,NV
40,K201FG,88.1,"Culbertson, MT",Religious,MT
41,K201FJ,88.1,"Williston, ND",Religious,ND
42,K201FK,88.1,"Burlington, CO",Religious,CO
43,K201FN,88.1,"Dickinson, ND",Religious,ND
44,K201FO,88.1,"Jennings, LA",Religious,LA
45,K201FP,88.1,"Arapaho, OK",Religious,OK
46,K201FV,88.1,"Truckee, CA",Classical,CA
47,K201FW,88.1,"Los Gatos, CA",Religious,CA
48,K201FX,88.1,"Reno, TX",Christian Contemporary,TX
49,K201GD,88.1,"Kirksville, MO",Religious,MO
50,K201HJ,88.1,"Lincoln Park, CO",Christian Contemporary,CO
51,K201HM,88.1,"Laramie, WY",Christian Contemporary,WY
52,K201HO,88.1,"Reno, NV",Religious,NV
53,K201HR,88.1,"Fort Bragg, CA",Public Radio,CA
54,K201HS,88.1,"Worland, WY",Religious,WY
55,K201HV,88.1,"Jansen, CO",Christian Contemporary,CO
56,K201HW,88.1,"El Paso, TX",Religious,TX
57,K201HX,88.1,"Mesquite, NV",Public Radio,NV
58,K201HZ,88.1,"Tulia, TX",Religious,TX
59,K201IB,88.1,"Heber-Overgaard, AZ",Religious,AZ
60,K201IG,88.1,"Rexburg, ID",Public Radio,ID
61,K201IH,88.1,"Napa, CA",Religious,CA
62,K201IJ,88.1,"Miami, Etc., OK",Religious,OK
63,K201IL,88.1,"Breckenridge, CO",Public Radio,CO
64,K201IN,88.1,"Hamilton, MT",Religious,MT
65,K201IP,88.1,"Sterling, CO",Religious,CO
66,K201IS,88.1,"Rincon, CA",Religious,CA
67,K201IS,88.1,"Oceanside, CA",Religious,CA
68,K201IW,88.1,"Las Vegas, NM",Public Radio,NM
69,K201IY,88.1,"Houston, TX",Spanish Christian,TX
70,K201IZ,88.1,"Vernal, UT",Christian Contemporary,UT
71,K201JB,88.1,"Dumas, TX",Religious,TX
72,K201JC,88.1,"Challis, ID",Classical,ID
73,K201JD,88.1,"Provo, UT",Christian Contemporary,UT
74,K201JF,88.1,"Beloit, KS",Religious,KS
75,K202BU,88.1,"Quartzsite, AZ",Religious,AZ
76,K209FS,88.1,"Columbus, NE",Public Radio,NE
77,K213BZ,88.1,"Richvale, CA",Christian Contemporary,CA
78,KAFM,88.1,"Grand Junction, CO",Variety,CO
79,KAKI,88.1,"Juneau, AK",Christian Contemporary,AK
80,KATG,88.1,"Elkhart, TX",Religious,TX
81,KAWD,88.1,"Detroit Lakes, MN",Religious,MN
82,KAYB,88.1,"Sunnyside, WA",Religious,WA
83,KAYT,88.1,"Jena, LA",Gospel Music,LA
84,KBAP,88.1,"Batesville, AR",Gospel Music,AR
85,KBBG,88.1,"Waterloo, IA",Variety,IA
86,KBCU,88.1,"North Newton, KS",College,KS
87,KBPW,88.1,"Hampton, AR",Religious,AR
88,KBTL,88.1,"El Dorado, KS",Variety,KS
89,KCCO,88.1,"Clayton, NM",Unknown Format,NM
90,KCCZ,88.1,"Boise City, OK",Unknown Format,OK
91,KCEP,88.1,"Las Vegas, NV",Urban Contemporary,NV
92,KCFD,88.1,"Crawford, NE",Classic Rock,NE
93,KCFY,88.1,"Yuma, AZ",Christian Contemporary,AZ
94,KCGS,88.1,"Marshall, AR",Religious,AR
95,KCNT,88.1,"Hastings, NE",College,NE
96,KCOU,88.1,"Columbia, MO",College,MO
97,KCQA,88.1,"Anahola, HI",Unknown Format,HI
98,KCRY,88.1,"Mojave, CA",Public Radio,CA
99,KCTI,88.1,"Gonzales, TX",Americana,TX
100,KCUK,88.1,"Chevak, AK",Native American,AK
101,KCWC,88.1,"Riverton, WY",College,WY
102,KCWU,88.1,"Ellensburg, WA",Top-40,WA
103,KDGR,88.1,"Grand Rapids, MN",Unknown Format,MN
104,KDHX,88.1,"Saint Louis, MO",Variety,MO
105,KDJC,88.1,"Baker, OR",Religious,OR
106,KDNK,88.1,"Glenwood Springs, CO",Public Radio,CO
107,KDPS,88.1,"Des Moines, IA",College,IA
108,KDUP,88.1,"Cedarville, CA",Variety,CA
109,KEBR,88.1,"Sacramento, CA",Religious,CA
110,KEJS,88.1,"Sargent, NE",Religious,NE
111,KENE,88.1,"Eagle Tail, NM",Public Radio,NM
112,KENP,88.1,"Las Vegas, NM",Public Radio,NM
113,KFCA,88.1,"Aberdeen, SD",Religious,SD
114,KFCF,88.1,"Fresno, CA",Variety,CA
115,KFCJ,88.1,"Fidelity, MO",Unknown Format,MO
116,KFGL,88.1,"Butte, MT",Religious,MT
117,KFGR,88.1,"Powell, WY",Religious,WY
118,KFHC,88.1,"Ponca, NE",Religious,NE
119,KFLB,88.1,"Stanton, TX",Religious,TX
120,KFLK,88.1,"Minot, ND",Religious,ND
121,KFPS,88.1,"False Pass, AK",Public Radio,AK
122,KFTG,88.1,"Pasadena, TX",Spanish Christian,TX
123,KGFJ,88.1,"Belt, MT",Religious,MT
124,KGGA,88.1,"Gallup, NM",Public Radio,NM
125,KGIF,88.1,"Tafuna, AS",Religious,AS
126,KGKV,88.1,"Doss, TX",Christian Contemporary,TX
127,KGLL,88.1,"Gillette, WY",Religious,WY
128,KGNZ,88.1,"Abilene, TX",Christian Contemporary,TX
129,KGPL,88.1,"Crookston, MN",Unknown Format,MN
130,KGRH,88.1,"Loomis, SD",Christian Contemporary,SD
131,KGRI,88.1,"Lebanon, OR",Christian Contemporary,OR
132,KGVA,88.1,"Fort Belknap Agency, MT",Native American,MT
133,KHID,88.1,"McAllen, TX",Religious,TX
134,KHJR,88.1,"Saint Thomas, MO",Religious,MO
135,KHMG,88.1,"Barrigada, GU",Religious,GU
136,KHOY,88.1,"Laredo, TX",Easy Listening,TX
137,KHPR,88.1,"Honolulu, HI",Public Radio,HI
138,KHPR,88.1,"Makaha, HI",Public Radio,HI
139,KHTU,88.1,"Wray, CO",Classic Country,CO
140,KICB,88.1,"Fort Dodge, IA",Alternative,IA
141,KIDS,88.1,"Grants, NM",Public Radio,NM
142,KIHI,88.1,"Cheyenne, WY",Classic Hits,WY
143,KIYO,88.1,"Saint Mary, MT",Native American,MT
144,KIYU,88.1,"Galena, AK",Public Radio,AK
145,KJCA,88.1,"Marshall, MN",Unknown Format,MN
146,KJDR,88.1,"Guymon, OK",Religious,OK
147,KJKR,88.1,"Jamestown, ND",Religious,ND
148,KJTY,88.1,"Topeka, KS",Religious,KS
149,KJVL,88.1,"Hutchinson, KS",Christian Contemporary,KS
150,KJYS,88.1,"McCook, NE",Christian Contemporary,NE
151,KKJZ,88.1,"Long Beach, CA",Jazz,CA
152,KKQA,88.1,"Akutan, AK",Public Radio,AK
153,KKRI,88.1,"Pocola, OK",Christian Contemporary,OK
154,KKWV,88.1,"Aransas Pass, TX",Religious,TX
155,KLBD,88.1,"Premont, TX",Spanish Christian,TX
156,KLBR,88.1,"Bend, OR",Public Radio,OR
157,KLBT,88.1,"Beaumont, TX",Christian Contemporary,TX
158,KLCM,88.1,"Ulysses, KS",Classic Rock,KS
159,KLFC,88.1,"Branson, MO",Christian Contemporary,MO
160,KLFO,88.1,"Florence, OR",Public Radio,OR
161,KLHE,88.1,"Hilo, HI",Unknown Format,HI
162,KLHM,88.1,"Lucerne Valley, CA",Unknown Format,CA
163,KLTU,88.1,"Mammoth, AZ",Christian Contemporary,AZ
164,KLUW,88.1,"East Wenatchee, WA",Christian Contemporary,WA
165,KLWG,88.1,"Lompoc, CA",Religious,CA
166,KLWL,88.1,"Chillicothe, MO",Religious,MO
167,KMLV,88.1,"Ralston, NE",Christian Contemporary,NE
168,KMPQ,88.1,"Roseburg, OR",Public Radio,OR
169,KMPZ,88.1,"Salida, CO",Classical,CO
170,KMSI,88.1,"Moore, OK",Religious,OK
171,KMUE,88.1,"Eureka, CA",Variety,CA
172,KNHO,88.1,"Roswell, NM",Unknown Format,NM
173,KNKL,88.1,"Tremonton, UT",Christian Contemporary,UT
174,KNLE,88.1,"Round Rock, TX",Christian Contemporary,TX
175,KNMA,88.1,"Tularosa, NM",Religious,NM
176,KNNB,88.1,"Whiteriver, AZ",Native American,AZ
177,KNOO,88.1,"Sierra Blanca, TX",Spanish,TX
178,KNSQ,88.1,"Mount Shasta, CA",Public Radio,CA
179,KNTU,88.1,"McKinney, TX",Alternative,TX
180,KOFK,88.1,"Bozeman, MT",Religious,MT
181,KOGJ,88.1,"Kenai, AK",Religious,AK
182,KOIA,88.1,"Storm Lake, IA",Religious,IA
183,KOYA,88.1,"Rosebud, SD",Native American,SD
184,KPAQ,88.1,"Plaquemine, LA",Religious,LA
185,KPFZ,88.1,"Lakeport, CA",Variety,CA
186,KPGR,88.1,"Pleasant Grove, UT",Grade School (K-12),UT
187,KPGS,88.1,"Pagosa Springs, CO",Public Radio,CO
188,KPJM,88.1,"Payson, AZ",Adult Contemporary,AZ
189,KPPP,88.1,"Fargo, ND",Variety,ND
190,KPRQ,88.1,"Sheridan, WY",Public Radio,WY
191,KQHR,88.1,"The Dalles, OR",Classical,OR
192,KQMD,88.1,"Quemado, TX",Spanish Hits,TX
193,KQNC,88.1,"Quincy, CA",Public Radio,CA
194,KQOC,88.1,"Gleneden Beach, OR",Classical,OR
195,KQTO,88.1,"Hurley, NM",Spanish,NM
196,KQUE,88.1,"Bay City, TX",Spanish Christian,TX
197,KRBP,88.1,"Presidio, TX",Spanish,TX
198,KREE,88.1,"Pirtleville, AZ",Spanish,AZ
199,KRFI,88.1,"Redwood Falls, MN",Public Radio,MN
200,KRLP,88.1,"Windom, MN",Christian Contemporary,MN
201,KRLX,88.1,"Northfield, MN",College,MN
202,KRNM,88.1,"Chalan Kanoa-Saipan, MP",Public Radio,MP
203,KRQA,88.1,"Bentonville, AR",Christian Contemporary,AR
204,KRRB,88.1,"Kuna, ID",Religious,ID
205,KRSD,88.1,"Sioux Falls, SD",Classical,SD
206,KRTM,88.1,"Banning, CA",Religious,CA
207,KRTT,88.1,"Great Bend, KS",Religious,KS
208,KRUA,88.1,"Anchorage, AK",College,AK
209,KTCV,88.1,"Kennewick, WA",Alternative,WA
210,KTFY,88.1,"Buhl, ID",Christian Contemporary,ID
211,KTFZ,88.1,"Thompson Falls, MT",Public Radio,MT
212,KTHO,88.1,"Dewey-Humboldt, AZ",Religious,AZ
213,KTQQ,88.1,"Elko, NV",Religious,NV
214,KTUA,88.1,"Coweta, OK",Christian Contemporary,OK
215,KTXT,88.1,"Lubbock, TX",College,TX
216,KUCC,88.1,"Clarkston, WA",Christian Contemporary,WA
217,KUHU,88.1,"Monticello, UT",Public Radio,UT
218,KUSW,88.1,"Flora Vista, NM",Public Radio,NM
219,KUYI,88.1,"Hotevilla, AZ",Native American,AZ
220,KVDM,88.1,"Hays, KS",Religious,KS
221,KVED,88.1,"Vernon, TX",Religious,TX
222,KVJS,88.1,"Arroyo, TX",Religious,TX
223,KVLW,88.1,"Gatesville, TX",Christian Contemporary,TX
224,KVOD,88.1,"Lakewood, CO",Classical,CO
225,KVSC,88.1,"Saint Cloud, MN",College,MN
226,KWAO,88.1,"Vashon, WA",Christian Contemporary,WA
227,KWAS,88.1,"Borger, TX",Religious,TX
228,KWOU,88.1,"Woodward, OK",Public Radio,OK
229,KWTF,88.1,"Bodega Bay, CA",Variety,CA
230,KWVA,88.1,"Eugene, OR",College,OR
231,KXBT,88.1,"Somerville, TX",Adult Album Alternative,TX
232,KXEM,88.1,"Roundup, MT",Religious,MT
233,KYHA,88.1,"Clovis, NM",Religious,NM
234,KYML,88.1,"San Diego Country Estates, CA",Unknown Format,CA
235,KYRS,88.1,"Medical Lake, WA",Variety,WA
236,KYTR,88.1,"Union Gap, WA",Religious,WA
237,KZCK,88.1,"Colby, KS",Christian Contemporary,KS
238,KZGM,88.1,"Cabool, MO",Public Radio,MO
239,KZSC,88.1,"Santa Cruz, CA",College,CA
240,W201AI,88.1,"Coeburn, VA",Variety,VA
241,W201AJ,88.1,"Big Stone Gap, VA",Variety,VA
242,W201BE,88.1,"Buffalo, NY",Gospel Music,NY
243,W201BL,88.1,"Jacksonville, IL",Religious,IL
244,W201BO,88.1,"Vincennes, IN",Religious,IN
245,W201CC,88.1,"Buford, GA",Religious,GA
246,W201CD,88.1,"Ithaca, NY",Public Radio,NY
247,W201CF,88.1,"Baldwin, MI",Religious,MI
248,W201CN,88.1,"Afton, VA",Public Radio,VA
249,W201DD,88.1,"Central City, KY",Christian Contemporary,KY
250,W201DI,88.1,"Monroe, NC",Religious,NC
251,W201DJ,88.1,"Douglas, GA",Christian Contemporary,GA
252,W201DM,88.1,"Woodstock, GA",Religious,GA
253,W201DP,88.1,"Ashtabula, OH",Public Radio,OH
254,W201DQ,88.1,"Utica, NY",Christian Contemporary,NY
255,W219DU,88.1,"Brunswick, GA",Religious,GA
256,WAJC,88.1,"Newport, MN",Christian Contemporary,MN
257,WAMP,88.1,"Jackson, TN",Religious,TN
258,WARY,88.1,"Valhalla, NY",College,NY
259,WAXG,88.1,"Mount Sterling, KY",Religious,KY
260,WAXR,88.1,"Geneseo, IL",Religious,IL
261,WAYD,88.1,"Auburn, KY",Christian Contemporary,KY
262,WAYF,88.1,"West Palm Beach, FL",Christian Contemporary,FL
263,WAYH,88.1,"Harvest, AL",Christian Contemporary,AL
264,WAYT,88.1,"Thomasville, GA",Christian Contemporary,GA
265,WAZD,88.1,"Savannah, TN",Religious,TN
266,WBCJ,88.1,"Spencerville, OH",Christian Contemporary,OH
267,WBFH,88.1,"Bloomfield Hills, MI",Grade School (K-12),MI
268,WBGM,88.1,"New Berlin, PA",Religious,PA
269,WBGU,88.1,"Bowling Green, OH",Variety,OH
270,WBLW,88.1,"Gaylord, MI",Religious,MI
271,WBMF,88.1,"Crete, IL",Religious,IL
272,WCHC,88.1,"Worcester, MA",College,MA
273,WCQS,88.1,"Asheville, NC",Public Radio,NC
274,WCQS,88.1,"Mars Hill, NC",Public Radio,NC
275,WCRJ,88.1,"Jacksonville, FL",Religious,FL
276,WCRP,88.1,"Guayama, PR",Spanish Christian,PR
277,WCRX,88.1,"Chicago, IL",College,IL
278,WCSW,88.1,"Arrowsmith, IL",Unknown Format,IL
279,WCWP,88.1,"Brookville, NY",College,NY
280,WDFB,88.1,"Danville, KY",Religious,KY
281,WDIY,88.1,"Allentown, PA",Public Radio,PA
282,WDNJ,88.1,"Hopatcong, NJ",Spanish Christian,NJ
283,WDPR,88.1,"Dayton, OH",Classical,OH
284,WDSW,88.1,"Cleveland, MS",Adult Album Alternative,MS
285,WEFR,88.1,"Erie, PA",Religious,PA
286,WEKM,88.1,"Maysville, KY",Public Radio,KY
287,WELH,88.1,"Providence, RI",Alternative,RI
288,WESN,88.1,"Bloomington, IL",College,IL
289,WESU,88.1,"Middletown, CT",College,CT
290,WFCP,88.1,"Pine Grove, PA",Religious,PA
291,WFGU,88.1,"Winchester, OH",Religious,OH
292,WFHL,88.1,"New Bedford, MA",Religious,MA
293,WFSK,88.1,"Nashville, TN",Smooth Jazz,TN
294,WGHW,88.1,"Lockwoods Folly Town, NC",Religious,NC
295,WGML,88.1,"Vanceboro, NC",Gospel Music,NC
296,WGWR,88.1,"Liberty, NY",Christian Contemporary,NY
297,WGWS,88.1,"Saint Mary's City, MD",Religious,MD
298,WHHN,88.1,"Hollidaysburg, PA",Religious,PA
299,WHID,88.1,"Green Bay, WI",Classical,WI
300,WHIJ,88.1,"Ocala, FL",Christian Contemporary,FL
301,WHJL,88.1,"Merrill, WI",Religious,WI
302,WHOV,88.1,"Hampton, VA",Jazz,VA
303,WHPR,88.1,"Highland Park, MI",Urban Contemporary,MI
304,WHRL,88.1,"Emporia, VA",Public Radio,VA
305,WHRQ,88.1,"Sandusky, OH",Religious,OH
306,WHYT,88.1,"Goodland Township, MI",Christian Contemporary,MI
307,WIHM,88.1,"Harrisburg, IL",Religious,IL
308,WIID,88.1,"Rodanthe, NC",Adult Contemporary,NC
309,WJFE,88.1,"Nantucket, MA",Spanish Hits,MA
310,WJIG,88.1,"Bruceton, TN",Unknown Format,TN
311,WJIS,88.1,"Bradenton, FL",Religious,FL
312,WJJJ,88.1,"Beckley, WV",Gospel Music,WV
313,WJPG,88.1,"Cape May Court House, NJ",Gospel Music,NJ
314,WJSP,88.1,"Warm Springs, GA",Public Radio,GA
315,WJTY,88.1,"Lancaster, WI",Religious,WI
316,WJYJ,88.1,"Hickory, NC",Gospel Music,NC
317,WJZZ,88.1,"Montgomery, NY",Dance,NY
318,WKEL,88.1,"Webster, NY",Christian Contemporary,NY
319,WKGO,88.1,"Murrysville, PA",Easy Listening,PA
320,WKIV,88.1,"Westerly, RI",Christian Contemporary,RI
321,WKJL,88.1,"Clarksburg, WV",Christian Contemporary,WV
322,WKNC,88.1,"Raleigh, NC",College,NC
323,WKRE,88.1,"Argo, AL",Religious,AL
324,WKRY,88.1,"Versailles, IN",Gospel Music,IN
325,WKVY,88.1,"Somerset, KY",Christian Contemporary,KY
326,WKWP,88.1,"Williamsport, PA",Christian Contemporary,PA
327,WLGH,88.1,"Leroy Township, MI",Christian Contemporary,MI
328,WLHV,88.1,"Annandale-on-Hudson, NY",Public Radio,NY
329,WLRA,88.1,"Lockport, IL",College,IL
330,WLTL,88.1,"La Grange, IL",Grade School (K-12),IL
331,WLWJ,88.1,"Petersburg, IL",Religious,IL
332,WLWX,88.1,"Wheaton, IL",Christian Contemporary,IL
333,WLXP,88.1,"Savannah, GA",Christian Contemporary,GA
334,WMAW,88.1,"Meridian, MS",Public Radio,MS
335,WMBL,88.1,"Mitchell, IN",Religious,IN
336,WMBR,88.1,"Cambridge, MA",College,MA
337,WMEK,88.1,"Kennebunkport, ME",Religious,ME
338,WMEY,88.1,"Bowdoin, ME",Christian Contemporary,ME
339,WMHS,88.1,"Pike Creek, DE",Public Radio,DE
340,WMNR,88.1,"Monroe, CT",Classical,CT
341,WMTG,88.1,"Mount Gilead, NC",Variety,NC
342,WMTQ,88.1,"Elmira, NY",Religious,NY
343,WMUL,88.1,"Huntington, WV",College,WV
344,WMWK,88.1,"Milwaukee, WI",Religious,WI
345,WNAP,88.1,"Morristown, IN",Oldies,IN
346,WNAS,88.1,"New Albany, IN",Grade School (K-12),IN
347,WNBV,88.1,"Grundy, VA",Gospel Music,VA
348,WNCH,88.1,"Norwich, VT",Classical,VT
349,WNEE,88.1,"Patterson, GA",Religious,GA
350,WNJT,88.1,"Trenton, NJ",Public Radio,NJ
351,WNLD,88.1,"Decatur, IL",Christian Contemporary,IL
352,WNTH,88.1,"Winnetka, IL",Grade School (K-12),IL
353,WOLM,88.1,"D'iberville, MS",Religious,MS
354,WPAL,88.1,"Dushore, PA",Country,PA
355,WPEB,88.1,"Philadelphia, PA",Variety,PA
356,WPRZ,88.1,"Brandy Station, VA",Religious,VA
357,WPTH,88.1,"Olney, IL",Religious,IL
358,WQWA,88.1,"Columbus, WI",Religious,WI
359,WRFL,88.1,"Lexington, KY",College,KY
360,WRGN,88.1,"Sweet Valley, PA",Religious,PA
361,WRGP,88.1,"Homestead, FL",College,FL
362,WRIH,88.1,"Richmond, VA",Religious,VA
363,WRJA,88.1,"Sumter, SC",Public Radio,SC
364,WRJS,88.1,"Soperton, GA",Religious,GA
365,WRQV,88.1,"Ridgway, PA",Christian Contemporary,PA
366,WRSN,88.1,"Lebanon, TN",Religious,TN
367,WSBF,88.1,"Clemson, SC",College,SC
368,WSBR,88.1,"Lee, MA",Unknown Format,MA
369,WSDP,88.1,"Plymouth, MI",Grade School (K-12),MI
370,WSFP,88.1,"Harrisville, MI",Christian Contemporary,MI
371,WSJL,88.1,"Bessemer, AL",Religious,AL
372,WSLZ,88.1,"Cape Vincent, NY",Public Radio,NY
373,WSMF,88.1,"Monroe, MI",Christian Contemporary,MI
374,WSOG,88.1,"Spring Valley, IL",Religious,IL
375,WSQN,88.1,"Greene, NY",Classical,NY
376,WSRC,88.1,"Waynetown, IN",Religious,IN
377,WSRU,88.1,"Slippery Rock, PA",College,PA
378,WTHA,88.1,"Berlin, NJ",Variety,NJ
379,WTRL,88.1,"Hodgenville, KY",Spanish Christian,KY
380,WTRT,88.1,"Benton, KY",Christian Contemporary,KY
381,WTSQ,88.1,"Charleston, WV",Variety,WV
382,WTZI,88.1,"Rosemont, IL",Asian,IL
383,WUBA,88.1,"High Springs, FL",Variety,FL
384,WUBJ,88.1,"Jamestown, NY",Public Radio,NY
385,WUBK,88.1,"Enoree, SC",Oldies,SC
386,WURC,88.1,"Holly Springs, MS",Public Radio,MS
387,WUTC,88.1,"Chattanooga, TN",Public Radio,TN
388,WUWF,88.1,"Pensacola, FL",Public Radio,FL
389,WVPE,88.1,"Elkhart, IN",Public Radio,IN
390,WVRR,88.1,"Point Pleasant, WV",Christian Contemporary,WV
391,WVVC,88.1,"Dolgeville, NY",Gospel Music,NY
392,WVYC,88.1,"York, PA",College,PA
393,WWEN,88.1,"Wentworth, WI",Religious,WI
394,WWER,88.1,"Colonial Beach, VA",Variety,VA
395,WWFJ,88.1,"East Fayetteville, NC",Gospel Music,NC
396,WWGV,88.1,"Grove City, OH",Religious,OH
397,WWTG,88.1,"Carpentersville, IL",Religious,IL
398,WXBA,88.1,"Brentwood, NY",Grade School (K-12),NY
399,WXLU,88.1,"Peru, NY",Public Radio,NY
400,WXTC,88.1,"Greenville, PA",College,PA
401,WYCE,88.1,"Wyoming, MI",Adult Album Alternative,MI
402,WYFY,88.1,"Cambridge, OH",Religious,OH
403,WYGG,88.1,"Asbury Park, NJ",Religious,NJ
404,WYPF,88.1,"Frederick, MD",Public Radio,MD
405,WYPR,88.1,"Baltimore, MD",Public Radio,MD
406,WYTR,88.1,"Robbins, NC",Gospel Music,NC
407,WZBL,88.1,"Barnegat Light, NJ",Religious,NJ
408,WZGL,88.1,"Charleston, IL",Christian Contemporary,IL
409,WZIP,88.1,"Akron, OH",College,OH
410,WZUM,88.1,"Bethany, WV",Jazz,WV
411,WZXM,88.1,"Harrisburg, PA",Christian Contemporary,PA
412,WZZD,88.1,"Warwick, PA",Christian Contemporary,PA
413,K202AB,88.3,"West Glenwood Spgs, CO",Public Radio,CO
414,K202AD,88.3,"Orangeville, Etc., UT",Public Radio,UT
415,K202AF,88.3,"Randolph, Etc., UT",Public Radio,UT
416,K202AT,88.3,"Aspen, CO",Public Radio,CO
417,K202AW,88.3,"Cedar City, UT",Public Radio,UT
418,K202BP,88.3,"Bellaire, Etc., KS",Christian Contemporary,KS
419,K202BT,88.3,"Whittier, AK",Public Radio,AK
420,K202CJ,88.3,"Deshler, NE",Religious,NE
421,K202CK,88.3,"Childress, TX",Religious,TX
422,K202CT,88.3,"Santa Rosa, CA",Public Radio,CA
423,K202DA,88.3,"Fort Jones, CA",Religious,CA
424,K202DB,88.3,"Unalaska, AK",Variety,AK
425,K202DH,88.3,"Condon, OR",Religious,OR
426,K202DM,88.3,"Barstow, CA",Christian Contemporary,CA
427,K202DR,88.3,"Wichita Falls, TX",Public Radio,TX
428,K202DT,88.3,"Canyonville, OR",Religious,OR
429,K202EA,88.3,"Lockhart, TX",Religious,TX
430,K202ED,88.3,"Mount Vernon, WA",Religious,WA
431,K202EF,88.3,"Tucumcari, NM",Religious,NM
432,K202EH,88.3,"Gold Beach, OR",Religious,OR
433,K202EJ,88.3,"Wellsville, UT",Religious,UT
434,K202EK,88.3,"Yuma, CO",Public Radio,CO
435,K202EM,88.3,"Bisbee-Douglas, AZ",Public Radio,AZ
436,K202EO,88.3,"Hibbing, MN",Christian Contemporary,MN
437,K202ER,88.3,"Astoria, OR",Christian Contemporary,OR
438,K210CG,88.3,"Spirit Lake, IA",Christian Contemporary,IA
439,K255CW,88.3,"Billings, MT",Public Radio,MT
440,KABF,88.3,"Little Rock, AR",Variety,AR
441,KAFR,88.3,"Willis, TX",Religious,TX
442,KAIX,88.3,"Casper, WY",Christian Contemporary,WY
443,KAPI,88.3,"Ruston, LA",Religious,LA
444,KAWK,88.3,"Coalinga, CA",Christian Contemporary,CA
445,KAWV,88.3,"Alice, TX",Religious,TX
446,KAXL,88.3,"Greenacres, CA",Christian Contemporary,CA
447,KBCM,88.3,"Blytheville, AR",Religious,AR
448,KBDM,88.3,"Boardman, OR",Unknown Format,OR
449,KBJQ,88.3,"Bronson, KS",Religious,KS
450,KBKO,88.3,"Kodiak, AK",Religious,AK
451,KBMK,88.3,"Bismarck, ND",Christian Contemporary,ND
452,KBNR,88.3,"Brownsville, TX",Spanish Christian,TX
453,KBPN,88.3,"Brainerd, MN",Public Radio,MN
454,KBTG,88.3,"Buffalo, WY",Religious,WY
455,KBVM,88.3,"Portland, OR",Religious,OR
456,KBWW,88.3,"Broken Bow, OK",Gospel Music,OK
457,KBYS,88.3,"Lake Charles, LA",Classic Hits,LA
458,KCCK,88.3,"Cedar Rapids, IA",Jazz,IA
459,KCLU,88.3,"Thousand Oaks, CA",Public Radio,CA
460,KCPC,88.3,"Camino, CA",Variety,CA
461,KCVP,88.3,"Pierre, SD",Religious,SD
462,KEQQ,88.3,"Grand Forks, ND",Religious,ND
463,KESD,88.3,"Brookings, SD",Public Radio,SD
464,KEUR,88.3,"Eureka, MT",Religious,MT
465,KFFR,88.3,"Winter Park, CO",Variety,CO
466,KFMP,88.3,"Meade, KS",Religious,KS
467,KGSY,88.3,"McCall, ID",Christian Contemporary,ID
468,KGUA,88.3,"Gualala, CA",Native American,CA
469,KHNW,88.3,"Manson, WA",Public Radio,WA
470,KIPH,88.3,"Hana, HI",Classical,HI
